MV,LSTAT,CRIM,CHAS,RM,DIS,RAD,TAX,PT,B,ZN,NOX,INDUS,AGE
24,4.98,0.00632,0,6.575,4.09,1,296,15.3,396.9,18,0.538,2.31,65.2
21.6,9.14,0.02731,0,6.421,4.9671,2,242,17.8,396.9,0,0.469,7.07,78.9
34.7,4.03,0.02729,0,7.185,4.9671,2,242,17.8,392.83,0,0.469,7.07,61.1
33.4,2.94,0.03237,0,6.998,6.0622,3,222,18.7,394.63,0,0.458,2.18,45.8
36.2,5.33,0.06905,0,7.147,6.0622,3,222,18.7,396.9,0,0.458,2.18,54.2
28.7,5.21,0.02985,0,6.43,6.0622,3,222,18.7,394.12,0,0.458,2.18,58.7
22.9,12.43,0.08829,0,6.012,5.5605,5,311,15.2,395.6,12.5,0.524,7.87,66.6
27.1,19.15,0.14455,0,6.172,5.9505,5,311,15.2,396.9,12.5,0.524,7.87,96.1
16.5,29.93,0.21124,0,5.631,6.0821,5,311,15.2,386.63,12.5,0.524,7.87,100
18.9,17.1,0.17004,0,6.004,6.5921,5,311,15.2,386.71,12.5,0.524,7.87,85.9
15,20.45,0.22489,0,6.377,6.3467,5,311,15.2,392.52,12.5,0.524,7.87,94.3
18.9,13.27,0.11747,0,6.009,6.2267,5,311,15.2,396.9,12.5,0.524,7.87,82.9
21.7,15.71,0.09378,0,5.889,5.4509,5,311,15.2,390.5,12.5,0.524,7.87,39
20.4,8.26,0.62976,0,5.949,4.7075,4,307,21,396.9,0,0.538,8.14,61.8
18.2,10.26,0.63796,0,6.096,4.4619,4,307,21,380.02,0,0.538,8.14,84.5
19.9,8.47,0.62739,0,5.834,4.4986,4,307,21,395.62,0,0.538,8.14,56.5
23.1,6.58,1.05393,0,5.935,4.4986,4,307,21,386.85,0,0.538,8.14,29.3
17.5,14.67,0.7842,0,5.99,4.2579,4,307,21,386.75,0,0.538,8.14,81.7
20.2,11.69,0.80271,0,5.456,3.7965,4,307,21,288.99,0,0.538,8.14,36.6
18.2,11.28,0.7258,0,5.727,3.7965,4,307,21,390.95,0,0.538,8.14,69.5
13.6,21.02,1.25179,0,5.57,3.7979,4,307,21,376.57,0,0.538,8.14,98.1
19.6,13.83,0.85204,0,5.965,4.0123,4,307,21,392.53,0,0.538,8.14,89.2
15.2,18.72,1.23247,0,6.142,3.9769,4,307,21,396.9,0,0.538,8.14,91.7
14.5,19.88,0.98843,0,5.813,4.0952,4,307,21,394.54,0,0.538,8.14,100
15.6,16.3,0.75026,0,5.924,4.3996,4,307,21,394.33,0,0.538,8.14,94.1
13.9,16.51,0.84054,0,5.599,4.4546,4,307,21,303.42,0,0.538,8.14,85.7
16.6,14.81,0.67191,0,5.813,4.682,4,307,21,376.88,0,0.538,8.14,90.3
14.8,17.28,0.95577,0,6.047,4.4534,4,307,21,306.38,0,0.538,8.14,88.8
18.4,12.8,0.77299,0,6.495,4.4547,4,307,21,387.94,0,0.538,8.14,94.4
21,11.98,1.00245,0,6.674,4.239,4,307,21,380.23,0,0.538,8.14,87.3
12.7,22.6,1.13081,0,5.713,4.233,4,307,21,360.17,0,0.538,8.14,94.1
14.5,13.04,1.35472,0,6.072,4.175,4,307,21,376.73,0,0.538,8.14,100
13.2,27.71,1.38799,0,5.95,3.99,4,307,21,232.6,0,0.538,8.14,82
13.1,18.35,1.15172,0,5.701,3.7872,4,307,21,358.77,0,0.538,8.14,95
13.5,20.34,1.61282,0,6.096,3.7598,4,307,21,248.31,0,0.538,8.14,96.9
18.9,9.68,0.06417,0,5.933,3.3603,5,279,19.2,396.9,0,0.499,5.96,68.2
