Country Name,Indicator Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Arab World,"Mortality rate, infant (per 1,000 live births)",58.38751692,56.75067485,55.22101136,53.7899618,52.3671605,50.98654939,49.61520244,48.26355982,46.95115431,45.64683844,44.33044431,43.03655217,41.7439373,40.49585673,39.28043692,38.10532675,36.8880325,35.69457413,34.49002849,33.35316023,32.35308726,31.41645259,30.65605893,29.93913671,29.30270419,28.68035489,28.13720166,27.61057501,
Arab World,"GNI per capita, Atlas method (current US$)",,,,,2096.852451,2136.055243,2229.608844,2296.38858,2299.370577,2273.131484,2395.287158,2485.662438,2468.405959,2676.591027,3064.672397,3500.307379,4014.98997,4618.341766,5421.084352,5492.32628,5753.619233,6022.985028,6954.054007,7391.94695,7481.494139,7039.96067,6586.739896,6137.040643,
Caribbean small states,"Mortality rate, infant (per 1,000 live births)",29.59474873,28.91292381,28.17432201,27.53494344,26.86804091,26.20636863,25.62765823,25.00575167,24.45406949,23.9812532,23.47146243,23.0303946,22.62298082,22.27866464,21.9585349,21.67024346,21.3575279,21.06425845,20.68651573,20.28756336,19.89168377,19.42671895,18.94541731,18.43953475,17.90748844,17.37256719,16.84635045,16.32311858,
Caribbean small states,"GNI per capita, Atlas method (current US$)",2775.717605,2766.428759,2812.716034,2895.367265,2983.573803,3338.501805,3647.333243,3790.557314,4044.649294,4518.557259,4832.340332,4968.197733,5173.268641,5637.79953,6264.926348,6825.504444,7548.411008,8213.1014,9009.163527,8660.085653,8765.334427,8582.129877,9307.600716,9675.274987,9644.639733,9642.7294,9094.738241,8909.184817,
Central African Republic,"Mortality rate, infant (per 1,000 live births)",114.9,114.8,114.8,114.8,114.9,114.9,114.8,114.6,114.1,113.6,113,112.2,111.4,110.6,109.7,108.8,107.6,106.6,105.3,103.6,101.9,99.9,98,96.3,93.9,91.6,89.2,87.6,
Central African Republic,"GNI per capita, Atlas method (current US$)",460,460,450,430,360,340,290,290,270,270,250,250,250,250,300,330,350,370,410,450,470,480,500,330,340,360,380,390,
Central Europe and the Baltics,"Mortality rate, infant (per 1,000 live births)",16.08745263,15.66595842,15.22010019,14.78881827,14.21830744,13.63165627,13.05413247,12.38206995,11.65341405,10.96817662,10.44122107,9.956604849,9.600729981,9.213237095,8.784887759,8.331819301,7.751795174,7.180442757,6.719275232,6.293143552,6.012544558,5.740492155,5.545905706,5.346362611,5.078932394,4.862616623,4.651530518,4.409623726,
Central Europe and the Baltics,"GNI per capita, Atlas method (current US$)",,,2244.769099,2443.433248,2736.874725,3158.741246,3603.699049,3814.161876,3866.302194,3910.759766,4096.506534,4169.371539,4424.622686,5209.991727,6378.126334,7735.453431,8866.346665,10338.32868,12354.58061,12710.24273,12749.18945,12921.52523,13092.07256,13427.24093,13562.93258,13196.34692,12768.62547,13009.34431,
East Asia & Pacific,"Mortality rate, infant (per 1,000 live births)",43.3,42.5,41.6,40.5,39.3,38.1,36.9,35.6,34.3,32.9,31.5,30,28.4,26.8,25.4,23.8,22.5,21.2,20.3,19.1,18.1,17.2,16.3,15.5,14.8,14.2,13.6,13.1,
East Asia & Pacific,"GNI per capita, Atlas method (current US$)",2758.374807,2860.907953,3060.58153,3321.985978,3637.070049,4098.036385,4305.091215,4177.112853,3659.560843,3622.34651,3833.348577,3917.822232,3872.137541,4052.412274,4555.633929,4984.853847,5271.254607,5640.950407,6150.605462,6506.110419,7323.394798,8125.837152,9094.144958,9699.990322,9921.088513,9801.266588,9858.720826,10171.69301,
